2.173199,29.023995,-8.344576
2.346157,30.858777,-9.073030
2.503842,32.507656,-9.672423
2.645644,33.983820,-10.166736
2.773036,35.313900,-10.582510
2.887186,36.506878,-10.935684
2.989276,37.583521,-11.240991
3.083184,38.595171,-11.511172
2.133745,28.429653,-8.206430
2.318416,30.405785,-8.988170
2.484560,32.163615,-9.621056
2.634105,33.744278,-10.141551
2.768878,35.176528,-10.579250
2.889858,36.468422,-10.949649
2.998390,37.641184,-11.268413
3.098204,38.745811,-11.549319
2.086774,27.855355,-8.032647
2.282570,29.987343,-8.870178
2.452798,31.806371,-9.526310
2.603890,33.406714,-10.060025
2.739521,34.841465,-10.507210
2.860451,36.119802,-10.883704
2.968249,37.268398,-11.205727
3.067061,38.343638,-11.487685
2.016560,26.990447,-7.780276
2.223516,29.292756,-8.689417
2.398600,31.199964,-9.380177
2.551987,32.860716,-9.934944
2.688492,34.344647,-10.396665
2.809589,35.672408,-10.784102
2.918296,36.882521,-11.114346
3.018655,38.034634,-11.402678
1.942954,26.087907,-7.503337
2.166162,28.594635,-8.491047
2.347886,30.570255,-9.211083
2.504929,32.249546,-9.780588
2.643203,33.720400,-10.251735
2.765234,35.016507,-10.645318
2.873629,36.176618,-10.979302
2.972797,37.260052,-11.269432
1.843882,24.897411,-7.133143
2.089813,27.740108,-8.245633
2.281139,29.893963,-9.016634
2.441479,31.670368,-9.609566
2.581025,33.208587,-10.093805
2.703025,34.554515,-10.495024
2.811145,35.757906,-10.833345
2.909749,36.879427,-11.126887
1.738934,23.637752,-6.729051
2.004507,26.676089,-7.966666
2.207376,28.919913,-8.795921
2.372036,30.699873,-9.408061
2.510666,32.180503,-9.890418
2.628848,33.434364,-10.280063
2.730982,34.520441,-10.601857
2.822325,35.506717,-10.876058
1.662304,22.712646,-6.428288
1.928324,25.783436,-7.701985
2.135759,28.119390,-8.567791
2.304886,29.992535,-9.208376
2.447598,31.561615,-9.712690
2.569339,32.895948,-10.120867
2.675170,34.062171,-10.461533
2.770162,35.123903,-10.755152
1.616262,22.167844,-6.258823
1.881657,25.229192,-7.551995
2.093700,27.614929,-8.446312
2.268456,29.542476,-9.110755
2.416285,31.151093,-9.632619
2.542780,32.513415,-10.053329
2.652817,33.693729,-10.402938
2.751303,34.752988,-10.702537
1.596372,21.909586,-6.187712
1.856619,24.912550,-7.464728
2.065873,27.272412,-8.351950
2.238161,29.177070,-9.010643
2.383099,30.759686,-9.525523
2.506478,32.097084,-9.938143
2.612979,33.251858,-10.279056
2.707743,34.285269,-10.569691
1.588190,21.782390,-6.169620
1.846898,24.760640,-7.444038
2.054904,27.108394,-8.330464
2.225557,29.007626,-8.987505
2.368571,30.592472,-9.499045
2.489339,31.935495,-9.906592
2.593465,33.103807,-10.243016
2.685526,34.149098,-10.529341
